Organisationsnr	Namn	PostAdress	PostNr	PostOrt	BesöksAdress	BesöksPostNr	BesöksPostOrt	Tfn	Fax	Epost	Webbadress	SFS
202100-4169	MYNDIGHETEN FÖR INTERNATIONELLA ADOPTIONSFRÅGOR (MIA)	BOX 308	101 26	STOCKHOLM	VASAGATAN 38	111 20	STOCKHOLM	08-54555680	08-6504110		www.mia.eu	2007:1020
202100-6347	MYNDIGHETEN FÖR RADIO OCH TV	BOX 33	121 25	STOCKHOLM-GLOBEN	ARENAVÄGEN 55	121 77	JOHANNESHOV	08-6069080				2010:1062
202100-5984	MYNDIGHETEN FÖR SAMHÄLLSSKYDD OCH BEREDSKAP (MSB)	KAROLINEN	651 81	KARLSTAD	NORRA KLARAGATAN 18	653 40	KARLSTAD	0771-240240	010-2405600	registrator@msbmyndigheten.se	www.msbmyndigheten.se	2008:1002
202100-6164	MYNDIGHETEN FÖR TILLVÄXTPOLITISKA UTVÄRDERINGAR OCH ANALYSER	STUDENTPLAN 3	831 40	ÖSTERSUND	STUDENTPLAN 3	831 40	ÖSTERSUND	010-4474400	010-4474401	info@tillvaxtanalys.se	www.tillvaxtanalys.se	2009:146
202100-4862	MYNDIGHETEN FÖR UTL.INVESTERINGAR I SVERIGE,ISA	BOX 90	101 21	STOCKHOLM	KLARABERGSVIADUKTEN 70 B	111 64	STOCKHOLM	08-4027800	08-4027878	isa@isa.se	www.isa.se	2009:897
202100-6230	MYNDIGHETEN FÖR YRKESHÖGSKOLAN	BOX 145	721 05	VÄSTERÅS	INGENJÖR BÅÅTHS GATA 19	722 12	VÄSTERÅS	010-2090100	021-132016	info@yhmyndigheten.se	www.yhmyndigheten.se	2009:279
202100-2916	MÄLARDALENS HÖGSKOLA	BOX 883	721 23	VÄSTERÅS	VASAGATAN 44	722 18	VÄSTERÅS	021-101300	021-101320	info@mdh.se	www.mdh.se	1993:100
202100-1108	NATIONALMUSEUM MED PRINS EUGENS WALDEMARSUDDE	BOX 16176	103 24	STOCKHOLM	SÖDRA BLASIEHOLMSHAMNEN 2	111 48	STOCKHOLM	08-51954300	08-51954451	registrator@nationalmuseum.se	www.nationalmuseum.se	2007:1175
202100-1124	NATURHISTORISKA RIKSMUSEET	BOX 50007	104 05	STOCKHOLM	FRESCATIVÄGEN 40	114 18	STOCKHOLM	08-51954000	08-51954085	myndigheten@nrm.se	www.nrm.se	2007:1176
202100-1975	NATURVÅRDSVERKET		106 48	STOCKHOLM	VALHALLAVÄGEN 195	115 53	STOCKHOLM	08-6981000	08-202925	registrator@naturvardsverket.se	www.naturvardsverket.se	2009:1476
202100-2726	NORDISKA AFRIKAINSTITUTET	BOX 1703	751 47	UPPSALA	KUNGSGATAN 38	753 21	UPPSALA	018-562200	018-562290	nai@nai.uu.se	www.nai.uu.se	2007:1222
202100-6032	NOTARIENÄMNDEN		551 81	JÖNKÖPING				036-155300	036-715360	domstolsverket@dom.se	http://www.domstol.se/templates/DV_InfoPage.aspx?id=3805	2007:1076
202100-4144	NÄMNDEN FÖR HEMSLÖJDSFRÅGOR	BOX 4006	102 61	STOCKHOLM				08-6819353			nfh.nutek.se	2007:1193
202100-5141	NÄMNDEN FÖR STATLIGT STÖD TILL TROSSAMFUND (SST)		172 99	SUNDBYBERG	STARRBÄCKSGATAN 11	172 74	SUNDBYBERG	08-4536870			www.sst.a.se	2007:1192
202100-5786	NÄMNDEN FÖR STYRELSEREPRESENTATIONSFRÅGOR		103 33	STOCKHOLM				08-4051000				2007:909
202100-6206	NÄMNDEN MOT DISKRIMINERING	BOX 2066	103 12	STOCKHOLM				08-56166668		kansliet@namndenmotdiskriminering.se	www.namndenmotdiskriminering.se	2008:1328
202100-2965	OPERAHÖGSKOLAN I STOCKHOLM	TEKNIKRINGEN 35	114 28	STOCKHOLM	TEKNIKRINGEN 35	114 28	STOCKHOLM	08-54581060	08-54581061		www.operahogskolan.se	1993:100
202100-2072	PATENT- OCH REGISTRERINGSVERKET	BOX 5055	102 42	STOCKHOLM	VALHALLAVÄGEN 136	114 41	STOCKHOLM	08-7822500	08-6660286	prv@prv.se	www.prv.se	2007:1111
202100-6255	PENSIONSMYNDIGHETEN	BOX 38190	100 64	STOCKHOLM	HORNSGATAN 168	117 28	STOCKHOLM	08-4051000		registrator@ppm.nu	www.pensionsmyndigheten.se	2009:1173
202100-4060	POLARFORSKNINGSSEKRETARIATET	BOX 50003	104 05	STOCKHOLM	LILLA FRESCATIVÄGEN 4 A	114 18	STOCKHOLM	08-6739600	08-152057	office@polar.se	www.polar.se	2007:1072
202100-4359	POST- OCH TELESTYRELSEN	BOX 5398	102 49	STOCKHOLM	BIRGER JARLSGATAN 16	114 34	STOCKHOLM	08-6785500	08-6785508	pts@pts.se	www.pts.se	2007:951
202100-4664	POSTVERKETS AVVECKLINGSORGANISATION		105 00	STOCKHOLM	MÄSTER SAMUELSGATAN 70	111 21	STOCKHOLM	08-7811000				
202100-3294	PRESSTÖDSNÄMNDEN	BOX 2250	103 16	STOCKHOLM	VÄSTERLÅNGGATAN 27	111 29	STOCKHOLM	08-247370	08-246560	info@pressstodsnamnden.se	www.presstodsnamnden.se	2009:869
202100-6362	PRÖVNINGSNÄMNDEN FÖR STÖD TILL KREDITINSTITUT	BOX 2218	103 15	STOCKHOLM								2008:850
202100-4680	RADIO- OCH TV-VERKET	BOX 33	121 25	STOCKHOLM-GLOBEN				08-6069080	08-7410870	rtvv@rtvv.se	www.rtvv.se	2009:752
202100-5638	REDERINÄMNDEN	BOX 11125	404 23	GÖTEBORG							www.regeringen.se/sb/d/3442/a/20563	2007:1160
202100-3831	REGERINGSKANSLIET		103 33	STOCKHOLM	ROSENBAD 4	111 52	STOCKHOLM	08-4051000	08-7231171	registrator@primeminister.ministry.se	www.regeringen.se	2010:46
202200-1545	REGIONALA ETIKPRÖVNINGSNÄMNDEN I GÖTEBORG	BOX 100	405 30	GÖTEBORG	MEDICINAREGATAN 3	413 90	GÖTEBORG	031-7731000			www.epn.se/goeteborg/om-naemnden.aspx	2008:352
202200-1552	REGIONALA ETIKPRÖVNINGSNÄMNDEN I LINKÖPING		581 83	LINKÖPING	SANDBÄCKSGATAN 7	582 25	LINKÖPING	013-227030		registrator@linkoping.epn.se	www.epn.se/linkoeping/om-naemnden.aspx	2008:352
202200-1560	REGIONALA ETIKPRÖVNINGSNÄMNDEN I LUND	BOX 117	221 00	LUND	STORA ALGATAN 4	223 50	LUND	046-2224180	046-2224422	registrator@epn.lu.se	www.epn.se/lund/om-naemnden.aspx	2008:352
202200-1578	REGIONALA ETIKPRÖVNINGSNÄMNDEN I STOCKHOLM		171 77	STOCKHOLM	NOBELS VÄG	171 65	SOLNA	08-52480000			www.epn.se/stockholm/om-naemnden.aspx	2008:352
202200-1586	REGIONALA ETIKPRÖVNINGSNÄMNDEN I UMEÅ		901 87	UMEÅ	UMEÅ UNIVERSITET  SAMVERKANSHUSET	907 36	UMEÅ	090-7852720			www.epn.se/umeaa/om-naemnden.aspx	2008:352
202200-1594	REGIONALA ETIKPRÖVNINGSNÄMNDEN I UPPSALA	BOX 1964	751 49	UPPSALA	VÄSTRA ÅGATAN 12	753 09	UPPSALA	018-4717401		registrator@uppsala.epn.se	www.epn.se/uppsala/om-naemnden.aspx	2008:352
202100-6354	RESEGARANTINÄMNDEN	BOX 2218	103 15	STOCKHOLM								
202100-4805	REVISORSNÄMNDEN	BOX 24014	104 50	STOCKHOLM	KARLAVÄGEN 104	115 26	STOCKHOLM	08-7831870	08-7831871	rn@revisiorsnamnden.se	www.revisorsnamnden.se	2007:1077
202100-1090	RIKSANTIKVARIEÄMBETET	BOX 5405	114 84	STOCKHOLM	STORGATAN 41	115 23	STOCKHOLM	08-51918000	08-6607284	riksant@raa.se	www.raa.se	2007:1184
202100-1074	RIKSARKIVET	BOX 12541	102 29	STOCKHOLM	FYRVERKARBACKEN 13-17	112 60	STOCKHOLM	010-4767100	010-4767120	riksarkivet@riksarkivet.ra.se	www.statensarkiv.se/ra	2009:1593
202100-2635	RIKSGÄLDSKONTORET		103 74	STOCKHOLM	NORRLANDSGATAN 15	111 43	STOCKHOLM	08-6134500	08-212163	riksgalden@riksgalden	www.riksgalden.se	2007:1447
202100-5059	RIKSTRAFIKEN	BOX 473	851 06	SUNDSVALL	ESPLANADEN 11	852 31	SUNDSVALL	060-678250		registrator@rikstrafiken.se	www.rikstrafiken.se	2008:1338
202100-4995	RIKSUTSTÄLLNINGAR	BOX 1033	621 21	VISBY	ARTILLERIGATAN 33 A	621 38	VISBY	0498-799000		ru@riksutstallningar.se	www.riksutstallningar.se	2009:749
202100-2585	RYMDSTYRELSEN	BOX 4006	171 04	SOLNA	SOLNA STRANDVÄG 86	171 54	SOLNA	08-6276480	08-6275014	rymdstyrelsen@snsb.se	www.rymdstyrelsen.se	2007:1115
202100-6008	RÄTTSHJÄLPNÄMNDEN	BOX 170	851 03	SUNDSVALL				060-186891	060-186839	rattshjalpsnamnden@dom.se	www.domstol.se/rattshjalpsnamnden	2007:1079
202100-6016	RÄTTSHJÄLPSMYNDIGHETEN	BOX 853	851 24	SUNDSVALL				060-134600	060-134640	registrator@rhm.dom.se	www.rattshjalp.se	2007:1078
202100-4227	RÄTTSMEDICINALVERKET	VASAGATAN 52	111 20	STOCKHOLM	VASAGATAN 52	111 20	STOCKHOLM	08-4417600	08-240530	rmv@rmv.se	www.rmv.se	2007:976
202100-4631	SAMESKOLSTYRELSEN	BOX 155	962 24	JOKKMOKK	LÄRARGATAN 2	962 31	JOKKMOKK	0971-44200	0971-44215	sameskolstyrelsen@sameskolstyrelsen.se	www.sameskolstyrelsen.se	2009:1522
202100-4573	SAMETINGET	BOX 90	981 22	KIRUNA	ADOLF HEDINSVÄGEN 58	981 33	KIRUNA	0980-78030	0980-78031	kansli@sametinget.se	www.sametinget.se	2009:1395
202100-4789	SIDA		105 25	STOCKHOLM	VALHALLAVÄGEN 199	115 53	STOCKHOLM	08-6985000	08-208864	info@sida.se	www.sida.se	2007:1371
202100-5901	SKATTERÄTTSNÄMNDEN	BRUNNSGRÄND 4	111 30	STOCKHOLM				08-7647957	08-210619	kansliet@skatterattsnamnden.se	www.skatterattsnamnden.se	2007:785
202100-5448	SKATTEVERKET		171 94	SOLNA	SOLNA STRANDVÄG 10	171 54	SOLNA	0771-778778	08-280332	huvudkontoret@skatteverket.se	www.skatteverket.se	2009:1199
202100-5869	SKILJENÄMNDEN I VISSA TRYGGHETSFRÅGOR	BOX 2218	103 15	STOCKHOLM				08-7000800		registratur@kammarkollegiet.se	http://www.kammarkollegiet.se/kammarkollegiet/vi-arbetar-ocksa-med/naemndmyndigheter/skiljenaemnden-i-vissa-trygghetsfragor	2007:830
202100-5612	SKOGSSTYRELSEN		551 83	JÖNKÖPING	VALLGATAN 8	553 16	JÖNKÖPING	036-359300	036-166170	skogsstyrelsen@skogsstyrelsen.se	www.svo.se	2009:1393
202100-5729	SKOLVÄSENDETS ÖVERKLAGANDENÄMND	BOX 23069	104 35	STOCKHOLM				08-58608000		overklagandenamnden@skolinspektionen.se	www.overklagandenamnden.se	2008:632
202100-4532	SMITTSKYDDSINSTITUTET		171 82	SOLNA	NOBELS VÄG 18	171 65	SOLNA	08-4572300	08-328330	smi@smi.se	www.smittskyddsinstitutet.se	2007:1215
202100-0555	SOCIALSTYRELSEN		106 30	STOCKHOLM	RÅLAMBSVÄGEN 3	112 59	STOCKHOLM	075-2473000	075-2473252	socialstyrelsen@socialstyrelsen.se	www.socialstyrelsen.se	2009:1243
202100-5745	SPECIALPEDAGOGISKA SKOLMYNDIGHETEN	BOX 1100	871 29	HÄRNÖSAND	MAGASINSGATAN 11	871 45	HÄRNÖSAND	010-4735000	010-4736642	spsm@spsm.se	www.spsm.se	2009:1216
202100-5836	STATENS ANSVARSNÄMND	BOX 2290	103 17	STOCKHOLM				08-7003402	08-202141	ansvarsnamnden@dom.se	www.statensansvarsnamnd.se	2007:831
202100-4417	STATENS BEREDNING FÖR MEDICINSK UTVÄRDERING	BOX 3657	103 59	STOCKHOLM	OLOF PALMES GATA 17	111 22	STOCKHOLM	08-4123200	08-4113260	info@sbu.se	www.sbu.se	2007:1233
202100-1041	STATENS BIOGRAFBYRÅ	BOX 7728	103 95	STOCKHOLM	REGERINGSGATAN 65	111 56	STOCKHOLM	08-243425	08-210178	registrator@statensbiografbyra.se	www.statensbiografbyra.se	2007:1182
202100-4276	STATENS BOSTADSKREDITNÄMND	BOX 531	371 23	KARLSKRONA	RONNEBYGATAN 40	371 33	KARLSKRONA	0455-334940	0455-80570	registrator@bkn.se	www.bkn.se	2009:1527
202100-5000	STATENS ENERGIMYNDIGHET	BOX 310	631 04	ESKILSTUNA	KUNGSGATAN 43	632 20	ESKILSTUNA	016-5442000	016-5442099	registrator@energimyndigheten.se	www.energimyndigheten.se	2007:1153
202100-4474	STATENS FASTIGHETSVERK	BOX 2263	103 16	STOCKHOLM	JÄRNTORGET 84	111 29	STOCKHOLM	08-6967000	08-6967001	sfv@sfv.se	www.sfv.se	2007:757
202100-4383	STATENS FOLKHÄLSOINSTITUT		831 40	ÖSTERSUND	FORSKARENS VÄG 3	831 40	ÖSTERSUND	063-199600	063-199602	info@fhi.se	www.fhi.se	2009:267
202100-0464	STATENS FÖRSVARSHISTORISKA MUSEER	BOX 14095	104 41	STOCKHOLM	RIDDARGATAN 13	114 51	STOCKHOLM	08-51956310	08-6626831	info@sfhm.se	www.sfhm.se	2007:1178
202100-0712	STATENS GEOTEKNISKA INSTITUT		581 93	LINKÖPING	OLAUS MAGNUS VÄG 35	583 30	LINKÖPING	013-201800	013-201914	sgi@swedgeo.se	www.swedgeo.se	2010:163
202100-3260	STATENS HAVERIKOMMISSION	BOX 12538	102 29	STOCKHOLM	TEKNOLOGGATAN 8 C	113 60	STOCKHOLM	08-50886200	08-50886290	info@havkom.se	www.havkom.se	2007:860
202100-4953	STATENS HISTORISKA MUSEER	BOX 5428	114 84	STOCKHOLM	STORGATAN 41	115 23	STOCKHOLM	08-51955600	08-51955603	registrator@historiska.se	www.historiska.se	2007:1180
202100-6214	STATENS INSPEKTION FÖR FÖRSVARSUNDERRÄTTELSEVERKSAMHETEN (SIUN)	BOX 1140	164 22	KISTA	GULLFOSSGATAN 12	164 40	KISTA	08-55504550		registrator@siun.se	www.siun.se	2009:969
202100-4508	STATENS INSTITUTIONSSTYRELSE	BOX 16363	103 26	STOCKHOLM	DROTTNINGGATAN 29	111 51	STOCKHOLM	08-4534000	08-4534050	registrator@stat-inst.se	www.stat-inst.se	2007:1132
202100-4151	STATENS JORDBRUKSVERK		551 82	JÖNKÖPING	VALLGATAN 6	553 16	JÖNKÖPING	036-155000	036-190546	jordbruksverket@jordbruksverket.se	www.sjv.se	2009:1464
202100-1033	STATENS KONSTRÅD	BOX 45134	104 30	STOCKHOLM	HÄLSINGEGATAN 45	113 31	STOCKHOLM	08-4401280	08-4401281	info@statenskonstrad.se	www.statenskonstrad.se	2007:1188
202100-1280	STATENS KULTURRÅD	BOX 27215	102 53	STOCKHOLM	BORGVÄGEN 1-5	115 53	STOCKHOLM	08-51926400	08-51926499	kulturradet@kulturradet.se	www.kulturradet.se	2007:1186
202100-1132	STATENS MARITIMA MUSEER	BOX 48	371 21	KARLSKRONA	STUMHOLMEN	371 32	KARLSKRONA	0455-359300	0455-359328	smm@maritima.se	www.maritima.se	2007:1198
202100-5075	STATENS MUSEER FÖR VÄRLDSKULTUR	BOX 5306	402 27	GÖTEBORG	SÖDRA VÄGEN 54	412 54	GÖTEBORG	031-632700	031-632710	info@smvk.se	www.smvk.se	2007:1185
202100-3666	STATENS MUSIKSAMLINGAR	BOX 16326	103 26	STOCKHOLM	TORSGATAN 19	113 21	STOCKHOLM	08-51955400	08-51955405	registrator@smus.se	www.smus.se	2007:1196
202100-5778	STATENS NÄMND FÖR ARBETSTAGARES UPPFINNINGAR		103 33	STOCKHOLM								2007:908
202100-3922	STATENS PERSONADRESSREGISTERNÄMND		171 94	SOLNA				08-7648000			www.sparnamnden.se	2007:784
202100-5828	STATENS SKADEREGLERINGSNÄMND	BOX 2218	103 15	STOCKHOLM				08-7000800			http://www.kammarkollegiet.se/kammarkollegiet/vi-arbetar-ocksa-med/naemndmyndigheter/statens-skaderegleringsnaemnd	2007:826
202100-6065	STATENS SKOLINSPEKTION	BOX 23069	104 35	STOCKHOLM	SVEAVÄGEN 159	113 46	STOCKHOLM	08-58608000	08-58608010	skolinspektionen@skolinspektionen.se	www.skolinspektionen.se	2009:1215
202100-4185	STATENS SKOLVERK		106 20	STOCKHOLM	ALSTRÖMERGATAN 12	112 47	STOCKHOLM	08-52733200	08-244420	skolverket@skolverket.se	www.skolverket.se	2009:1214
202100-5851	STATENS TJÄNSTEPENSIONS- OCH GRUPPLIVNÄMND		851 90	SUNDSVALL				060-187546	060-187438	spv@spv.se		2007:833
202100-0928	STATENS TJÄNSTEPENSIONSVERK		851 90	SUNDSVALL	JÄGARGATAN 1	852 37	SUNDSVALL	060-187400	060-187438	spv@spv.se	www.spv.se	2007:832
202100-5844	STATENS UTLANDSLÖNENÄMND	BOX 3267	103 65	STOCKHOLM				08-7001300	08-7001377	utn@arbetsgivarverket.se	www.utn.nu	2007:834
202100-4029	STATENS VA-NÄMND	BOX 12535	102 29	STOCKHOLM	VÄSTERBROPLAN 3	112 35	STOCKHOLM	08-6573880	08-6573885	kansli@va-namnden.se	www.va-namnden.se	2007:1058
202100-1868	STATENS VETERINÄRMEDICINSKA ANSTALT		751 89	UPPSALA	ULLS VÄG 2	756 51	UPPSALA	018-674000	018-309162	sva@sva.se	www.sva.se	2009:1394
202100-0704	STATENS VÄG- OCH TRANSPORTFORSKNINGSINSTITUT		581 95	LINKÖPING	OLAUS MAGNUS VÄG 35	583 30	LINKÖPING	013-204000	013-141436	vti@vti.se	www.vti.se	2007:964
202100-4763	STATENS ÖVERKLAGANDENÄMND	BOX 2218	103 15	STOCKHOLM				08-7000800	08-204969	registratur@kammarkollegiet.se	http://www.kammarkollegiet.se/statens-oeverklagandenaemnd	2007:835
202100-0837	STATISTISKA CENTRALBYRÅN	BOX 24300	104 51	STOCKHOLM	KARLAVÄGEN 100	115 26	STOCKHOLM	08-50694000	08-6615261	scb@scb.se	www.scb.se	2007:762
202100-0852	STATSKONTORET	BOX 8110	104 20	STOCKHOLM	FLEMINGGATAN 20	112 26	STOCKHOLM	08-4544600	08-7918972	statskontoret@stadskontoret.se	www.statskontoret.se	2007:827
202100-3062	STOCKHOLMS UNIVERSITET		106 91	STOCKHOLM	UNIVERSITETSVÄGEN 10	114 18	STOCKHOLM	08-162000	08-159522		www.su.se	1993:100
202100-5737	STRÅLSÄKERHETSMYNDIGHETEN		171 16	STOCKHOLM	SOLNA STRANDVÄG 96	171 54	SOLNA	08-7994000		registrator@ssm.se	www.stralsakerhetsmyndigheten.se	2008:452
202100-3815	STYRELSEN FÖR ACKREDITERING OCH TEKNISK KONTROLL	BOX 878	501 15	BORÅS	ÖSTERLÅNGGATAN 5	503 31	BORÅS	033-177700	033-101392	registrator@swedac.se	www.swedac.se	2009:895
202100-5224	SVENSKA ESF-RÅDET	BOX 47141	100 74	STOCKHOLM	LILJEHOLMSVÄGEN 30 B	117 61	STOCKHOLM	08-57917100	08-57917101	centrala-enheten@esf.se	www.esf.se	2007:907
202100-4961	SVENSKA INSTITUTET	BOX 7434	103 91	STOCKHOLM	SLOTTSBACKEN 10	111 30	STOCKHOLM	08-4537800	08-207248	si@si.se	www.si.se	2007:1224
202100-5331	SVENSKA INSTITUTET FÖR EUROPAPOLITISKA STUDIER	FLEMINGGATAN 20	112 26	STOCKHOLM	FLEMINGGATAN 20	112 26	STOCKHOLM	08-4544700	08-4544706	info@sieps.se	www.sieps.se	2008:748
202100-3583	SVERIGES FÖRFATTARFOND	BOX 1106	111 81	STOCKHOLM	KLARA NORRA KYRKOGATA 29	111 22	STOCKHOLM	08-4404550	08-4404565	svff@svff.se	www.svff.se	2009:1572
202100-2528	SVERIGES GEOLOGISKA UNDERSÖKNING	BOX 670	751 28	UPPSALA	VILLAVÄGEN 18	752 36	UPPSALA	018-179000	018-179210	sgu@sgu.se	www.sgu.se	2009:1297
202100-2817	SVERIGES LANTBRUKSUNIVERSITET	BOX 7070	750 07	UPPSALA	UNDERVISNINGSPLAN 6 A	756 51	UPPSALA	018-671000		registrator@slu.se	www.slu.se	1993:100
202100-0696	SVERIGES METEOROLOGISKA O HYDROLOGISKA INSTITUT		601 76	NORRKÖPING	FOLKBORGSVÄGEN 1	603 80	NORRKÖPING	011-4958000	011-4958001	smhi@smhi.se	www.smhi.se	2009:974
202100-5703	SÄKERHETS- OCH INTEGRITETSSKYDDSNÄMNDEN	BOX 22523	104 22	STOCKHOLM	NORR MÄLARSTRAND 6	112 20	STOCKHOLM	08-6179800	08-6179888	sakint@sakint.se	www.sakint.se	2007:1141
202100-4896	SÖDERTÖRNS HÖGSKOLA		141 89	HUDDINGE	ALFRED NOBELS ALLÉ 7	141 52	HUDDINGE	08-6084000	08-6084010	registrator@sh.se	webappl.web.sh.se	1993:100
202100-3591	TALBOKS- OCH PUNKTSKRIFTSBIBLIOTEKET	BOX 5113	121 17	JOHANNESHOV	PALMFELTSVÄGEN 5 A	121 62	JOHANNESHOV	08-58002700	08-6599467	info@tpb.se	www.tpb.se	2007:1290
202100-5935	TALTIDNINGSNÄMNDEN	BOX 2250	103 16	STOCKHOLM				08-242131	08-246560	info@presstodsnamnden.se	www.taltidningsnamnden.se	2007:1189
202100-5364	TANDVÅRDS-OCH LÄKEMEDELSFÖRMÅNSVERKE T,TLV	BOX 55	171 11	SOLNA	SUNDBYBERGSVÄGEN 1	171 73	SOLNA	08-56842050	08-56842099	registrator@tlv.se	www.lfn.se	2010:194
202100-1249	TEATERHÖGSKOLAN I STOCKHOLM	BOX 10038	100 55	STOCKHOLM	VALHALLAVÄGEN 193	115 53	STOCKHOLM	08-55609300	08-7029580	info@teaterhogskolan.se	www.teaterhogskolan.se	1993:100
202100-6149	TILLVÄXTVERKET	BOX 4044	102 61	STOCKHOLM	GÖTGATAN 74	118 26	STOCKHOLM	08-6819100	08-196828	tillvaxtverket@tillvaxtverket.se	www.tillvaxtverket.se	2009:145
202100-5182	TOTALFÖRSVARETS FORSKNINGSINSTITUT, FOI		164 90	STOCKHOLM	GULLFOSSGATAN 6	164 40	KISTA	08-55503000	08-55503100	registrator@foi.se	www.foi.se	2007:861
202100-4771	TOTALFÖRSVARETS PLIKTVERK	KAROLINEN	651 80	KARLSTAD	VÅXNÄSGATAN 10	653 40	KARLSTAD	054-146500	054-146509	pliktverket@pliktverket.se	www.pliktverket.se	2007:1263
202100-6305	TRAFIKANALYS	SVEAVÄGEN 90	113 59	STOCKHOLM	SVEAVÄGEN 90	113 59	STOCKHOLM	063-140000	063-140010	info@trafa.se	www.trafa.se	2010:186
202100-6297	TRAFIKVERKET		781 89	BORLÄNGE	RÖDA VÄGEN 1	781 70	BORLÄNGE	0771-921921		trafikverket@trafikverket.se	www.trafikverket.se	2010:185
202100-6099	TRANSPORTSTYRELSEN		601 73	NORRKÖPING	VIKBOPLAN 7	602 29	NORRKÖPING	011-4152100	011-4152250	kontakt@transportstyrelsen.se	www.transportstyrelsen.se	2008:1300
202100-0969	TULLVERKET	BOX 12854	112 98	STOCKHOLM	ALSTRÖMERGATAN 39	112 47	STOCKHOLM	0771-520520	08-208012	tullverket@tullverket.se	www.tullverket.se	2007:782
202100-2874	UMEÅ UNIVERSITET		901 87	UMEÅ	PETRUS LAESTADIUS VÄG	907 36	UMEÅ	090-7865000	090-7869995	umea.universitet@umea.se	www.umu.se	1993:100
202100-1173	UNGDOMSSTYRELSEN	BOX 17801	118 94	STOCKHOLM	RINGVÄGEN 100	118 60	STOCKHOLM	08-4625350	08-6448813	info@ungdomsstyrelsen.se	www.ungdomsstyrelsen.se	2007:1140
202100-2932	UPPSALA UNIVERSITET	BOX 256	751 05	UPPSALA	S:T OLOFSGATAN 10 A-B	753 12	UPPSALA	018-4710000		registrator@uv.se	www.uu.se	1993:100
202100-5281	VALMYNDIGHETEN	BOX 4210	171 04	SOLNA	SOLNA STRANDVÄG 78	171 54	SOLNA	08-6356900	08-6356920	valet@val.se	www.val.se	2007:977
202100-4367	VERKET FÖR HÖGSKOLESERVICE	BOX 24070	104 50	STOCKHOLM	KARLAVÄGEN 108	115 26	STOCKHOLM	08-7259600	08-7259601	registrator@vhs.se	www.vhs.se	2007:1291
202100-5216	VERKET FÖR INNOVATIONSSYSTEM		101 58	STOCKHOLM	MÄSTER SAMUELSGATAN 56	111 21	STOCKHOLM	08-4733000	08-4733005	vinnova@vinnova.se	www.vinnova.se	2009:1101
202100-5208	VETENSKAPSRÅDET	BOX 1035	101 38	STOCKHOLM	KLARABERGSVIADUKTEN 82	111 64	STOCKHOLM	08-54644000	08-54644180	vetenskapsradet@vr.se	www.vr.se	2009:1274
202100-0084	ÅKLAGARMYNDIGHETEN	BOX 5553	114 85	STOCKHOLM	ÖSTERMALMSGATAN 87 C	114 59	STOCKHOLM	08-4536600	08-4536699	registrator@aklagare.se	www.aklagare.se	2007:971
202100-2924	ÖREBRO UNIVERSITET		701 82	ÖREBRO	FAKULTETSGATAN 1	702 81	ÖREBRO	019-303000	019-303465	registrator@oru.se	www.oru.se	1993:100
202100-4375	ÖVERKLAGANDENÄMNDEN FÖR HÖGSKOLAN	BOX 7249	103 89	STOCKHOLM				08-7283713			www.onh.se	2007:991
202100-6024	ÖVERKLAGANDENÄMNDEN FÖR NÄMNDEMANNAUPPDRAG	BOX 714	851 21	SUNDSVALL				060-186600	060-186652	overklagandenamnden@dom.se	http://www.domstol.se/templates/DV_Page.aspx?id=4073	2007:1081
202100-5273	ÖVERKLAGANDENÄMNDEN FÖR STUDIESTÖD	BOX 110	871 23	HÄRNÖSAND	BACKGRÄND 9	871 32	HÄRNÖSAND	0611-347500	0611-347570	registrator@oks.se	www.oks.se	2007:1348
